Frame,HipAngle,KneeAngle,AnkleAngle
0,22.71700635195502,2.5929921766822037,5.507190310158649
1,22.730074146759534,2.54998720707356,5.468448886312416
2,22.70640619363654,2.561801185578353,5.463128410371695
3,22.711459928976154,2.530989425058683,5.535247162499957
4,22.698912178476377,2.559044042760381,5.530681086817253
5,22.684814224623523,2.613405384091037,5.52854701368571
6,22.693360530250203,2.5899436251874643,5.494435031074204
7,22.694217270328522,2.616354780716843,5.497138905204764
8,22.68482286504893,2.593503584073815,5.496430854230368
9,22.686490430365765,2.603875005544055,5.507190905642574
10,22.64874735049102,2.582089439042301,5.553983865292864
11,22.656854608091834,2.5633745413952105,5.513557873996234
12,22.6680145141612,2.5574448783473698,5.535771714679598
13,22.665945947993094,2.5523899173939353,5.535658729929679
14,22.64843840232342,2.578072162114646,5.542628221512501
15,22.62100878208264,2.567491482323262,5.511948716194951
16,22.62414789890289,2.559297615875178,5.512631463084958
17,22.620930837107693,2.586454584813077,5.535168796839656
18,22.65249170454777,2.592002857121306,5.514618974211544
19,22.669211467719947,2.6063362231409695,5.529099458932052
20,22.677654908557656,2.5175210502364203,5.5343049605383925
21,22.731616751253895,2.7417259477254103,5.465436449822988
22,22.727464793657163,2.787370143512559,5.421682932300783
23,22.722380927986677,2.7378239929516566,5.491296746908489
24,22.720219334298733,2.717286047198014,5.4614967533777445
25,22.72050389893758,2.7144166039074067,5.41217625744892
26,22.70948120077344,2.749515529303759,5.41698117612998
27,22.71670721236083,2.7383631416454897,5.460299758428448
